x, branch
0.000000000000000000e+00,8.117568492889404297e-01
1.111111119389533997e-01,8.474834561347961426e-01
2.222222238779067993e-01,8.847895264625549316e-01
3.333333432674407959e-01,9.170421957969665527e-01
4.444444477558135986e-01,9.517803192138671875e-01
5.555555820465087891e-01,9.826219677925109863e-01
6.666666865348815918e-01,1.013698697090148926e+00
7.777777910232543945e-01,1.041445732116699219e+00
8.888888955116271973e-01,1.076989412307739258e+00
1.000000000000000000e+00,1.034670114517211914e+00
